Timestamp;Azimuth;Altitude;Latitude;Longitude
1672531200.0;111.73029716019792;23.14115048350864;-7.9211;112.5992
1672531260.0;111.73511927375196;23.370687528303375;-7.9211;112.5992
1672531320.0;111.74038534960204;23.60022286555083;-7.9211;112.5992
1672531380.0;111.74610221793732;23.82975820279828;-7.9211;112.5992
1672531440.0;111.75226987875786;24.05929012495114;-7.9211;112.5992
1672531500.0;111.7588883320636;24.28882033955671;-7.9211;112.5992
1672531560.0;111.76596440804371;24.518345431520405;-7.9211;112.5992
1672531620.0;111.77349127650908;24.747865400842223;-7.9211;112.5992
1672531680.0;111.78148942802716;24.97737853997487;-7.9211;112.5992
1672531740.0;111.78994520221964;25.206886556465637;-7.9211;112.5992
1672531800.0;111.79886542927568;25.43638432767265;-7.9211;112.5992
1672531860.0;111.80825693938444;25.66587526869049;-7.9211;112.5992
1672531920.0;111.81811973254597;25.89535596442458;-7.9211;112.5992
1672531980.0;111.82846063894937;26.124826414874917;-7.9211;112.5992
1672532040.0;111.83927965859463;26.3542849124942;-7.9211;112.5992
1672532100.0;111.85057679148186;26.58373145728244;-7.9211;112.5992
1672532160.0;111.86235886780013;26.81316434169233;-7.9211;112.5992
1672532220.0;111.87463271773863;27.04258356572389;-7.9211;112.5992
1672532280.0;111.88739151110822;27.27198742182982;-7.9211;112.5992
1672532340.0;111.9006489082872;27.50137420246282;-7.9211;112.5992
1672532400.0;111.91440490927562;27.73074561517019;-7.9211;112.5992
1672532460.0;111.9286663442626;27.96009824485734;-7.9211;112.5992
1672532520.0;111.943426383059;28.18943038397698;-7.9211;112.5992
1672532580.0;111.95869868604316;28.418745447623696;-7.9211;112.5992
1672532640.0;111.97448325321506;28.64803660560832;-7.9211;112.5992
1672532700.0;111.99078691476387;28.87730898057272;-7.9211;112.5992
1672532760.0;112.00760284050044;29.106557449875027;-7.9211;112.5992
1672532820.0;112.02495152099227;29.33578201351524;-7.9211;112.5992
1672532880.0;112.0428261260502;29.56498267149336;-7.9211;112.5992
1672532940.0;112.06123348586338;29.794159423809383;-7.9211;112.5992
1672533000.0;112.08017360043183;30.02330544027414;-7.9211;112.5992
1672533060.0;112.09966013013388;30.252427551076803;-7.9211;112.5992
1672533120.0;112.11969307496952;30.4815189260282;-7.9211;112.5992
1672533180.0;112.14027243493877;30.71058298022292;-7.9211;112.5992
1672533240.0;112.1614050402308;30.939612883471785;-7.9211;112.5992
1672533300.0;112.18309772103476;31.16861546596397;-7.9211;112.5992
1672533360.0;112.20535047735063;31.39758389751031;-7.9211;112.5992
1672533420.0;112.22817696955684;31.6265181781108;-7.9211;112.5992
1672533480.0;112.25157036746413;31.855418307765436;-7.9211;112.5992
1672533540.0;112.27555116164004;32.08428087137964;-7.9211;112.5992
1672533600.0;112.30010569170624;32.31310928404799;-7.9211;112.5992
1672533660.0;112.32525444823024;32.54189671558132;-7.9211;112.5992
1672533720.0;112.35099060102284;32.77064999616881;-7.9211;112.5992
1672533780.0;112.3773278104624;32.99935888052668;-7.9211;112.5992
1672533840.0;112.4042729067381;33.228030198844124;-7.9211;112.5992
1672533900.0;112.43181905966075;33.45665712093196;-7.9211;112.5992
1672533960.0;112.4599867597979;33.685243061884776;-7.9211;112.5992
1672534020.0;112.4887760071495;33.9137811915134;-7.9211;112.5992
1672534080.0;112.51818680171556;34.14227834000701;-7.9211;112.5992
1672534140.0;112.54823280387446;34.37072426208184;-7.9211;112.5992
1672534200.0;112.57891401362616;34.599125787927065;-7.9211;112.5992
1672534260.0;112.610244091349;34.82747608735352;-7.9211;112.5992
1672534320.0;112.64221620685385;35.05577857545578;-7.9211;112.5992
1672534380.0;112.67485768089732;35.284029837139265;-7.9211;112.5992
1672534440.0;112.70815485310114;35.51222645730939;-7.9211;112.5992
1672534500.0;112.7421213838436;35.740368435966154;-7.9211;112.5992
1672534560.0;112.77676410331392;35.96845577310956;-7.9211;112.5992
1672534620.0;112.8120966718904;36.19648846873961;-7.9211;112.5992
1672534680.0;112.84811225938388;36.42446310776171;-7.9211;112.5992
1672534740.0;112.88483135636186;36.65237969017586;-7.9211;112.5992
1672534800.0;112.9222471326352;36.88023480088749;-7.9211;112.5992
1672534860.0;112.96038007877137;37.108028439896586;-7.9211;112.5992
1672534920.0;112.9992301947704;37.33576060720315;-7.9211;112.5992
1672534980.0;113.03881114101064;37.56342447261802;-7.9211;112.5992
1672535040.0;113.07912291749204;37.79102686633035;-7.9211;112.5992
1672535100.0;113.12017918459298;38.018560958150985;-7.9211;112.5992
1672535160.0;113.16198677250264;38.24602674807992;-7.9211;112.5992
1672535220.0;113.20455251141016;38.473424236117154;-7.9211;112.5992
1672535280.0;113.24788323150472;38.70074659207352;-7.9211;112.5992
1672535340.0;113.29198576297549;38.92800064613818;-7.9211;112.5992
1672535400.0;113.3368737662008;39.15517615302739;-7.9211;112.5992
1672535460.0;113.38256090155905;39.38227994293032;-7.9211;112.5992
1672535520.0;113.42904033886096;39.6093017705632;-7.9211;112.5992
1672535580.0;113.4763393988633;39.836248466115215;-7.9211;112.5992
1672535640.0;113.52445125137687;40.06311319939719;-7.9211;112.5992
1672535700.0;113.57339638696918;40.28989597040912;-7.9211;112.5992
1672535760.0;113.6231816358294;40.516596779151016;-7.9211;112.5992
1672535820.0;113.67380699795754;40.74321221052829;-7.9211;112.5992
1672535880.0;113.72529979411028;40.96973884944634;-7.9211;112.5992
1672535940.0;113.77766002428758;41.19617669590519;-7.9211;112.5992
1672536000.0;113.83089451867866;41.42252574990483;-7.9211;112.5992
