DateTime;Azimuth;Altitude;Latitude;Longitude
2023-06-01 00:00:00;63.71193627598724;18.083053893655695;-7.9211;112.5992
2023-06-01 00:05:00;63.3536177219392;19.18813752022874;-7.9211;112.5992
2023-06-01 00:10:00;62.98082599703991;20.289995589966242;-7.9211;112.5992
2023-06-01 00:15:00;62.59302834653409;21.388390753794553;-7.9211;112.5992
2023-06-01 00:20:00;62.18967152509899;22.48307712490354;-7.9211;112.5992
2023-06-01 00:25:00;61.7701408157093;23.57381052403039;-7.9211;112.5992
2023-06-01 00:30:00;61.333794180583034;24.6603382341758;-7.9211;112.5992
2023-06-01 00:35:00;60.879948600803196;25.74239729305673;-7.9211;112.5992
2023-06-01 00:40:00;60.4078937366961;26.81971620065367;-7.9211;112.5992
2023-06-01 00:45:00;59.91685094669638;27.89200638147419;-7.9211;112.5992
2023-06-01 00:50:00;59.40600743829278;28.958970722289394;-7.9211;112.5992
2023-06-01 00:55:00;58.87450943783907;30.020286496660994;-7.9211;112.5992
2023-06-01 01:00:00;58.32143486979729;31.075625855508832;-7.9211;112.5992
2023-06-01 01:05:00;57.745827507683636;32.12463021390149;-7.9211;112.5992
2023-06-01 01:10:00;57.146662823122604;33.16692049634002;-7.9211;112.5992
2023-06-01 01:15:00;56.52286164622534;34.20209713675798;-7.9211;112.5992
2023-06-01 01:20:00;55.873283335400444;35.22973324833225;-7.9211;112.5992
2023-06-01 01:25:00;55.196729192448586;36.2493780385776;-7.9211;112.5992
2023-06-01 01:30:00;54.49192880218414;37.26054656406297;-7.9211;112.5992
2023-06-01 01:35:00;53.75755710790813;38.262716315316844;-7.9211;112.5992
2023-06-01 01:40:00;52.99220709065152;39.255344292300215;-7.9211;112.5992
2023-06-01 01:45:00;52.19441367483735;40.237832853460695;-7.9211;112.5992
2023-06-01 01:50:00;51.36264348299695;41.209560451583826;-7.9211;112.5992
2023-06-01 01:55:00;50.49528800558079;42.16984748284718;-7.9211;112.5992
2023-06-01 02:00:00;49.590677261336786;43.117980192482506;-7.9211;112.5992
2023-06-01 02:05:00;48.647079797310354;44.05318676911357;-7.9211;112.5992
2023-06-01 02:10:00;47.66270268884436;44.974654420229164;-7.9211;112.5992
2023-06-01 02:15:00;46.63570178486291;45.881502051426345;-7.9211;112.5992
2023-06-01 02:20:00;45.564185122965895;46.772797341883404;-7.9211;112.5992
2023-06-01 02:25:00;44.44623000490196;47.64754649907611;-7.9211;112.5992
2023-06-01 02:30:00;43.279903487135996;48.5046908436831;-7.9211;112.5992
2023-06-01 02:35:00;42.06325896575455;49.34310339449134;-7.9211;112.5992
2023-06-01 02:40:00;40.79438057269543;50.16159228349064;-7.9211;112.5992
2023-06-01 02:45:00;39.47139000593689;50.95889051058999;-7.9211;112.5992
2023-06-01 02:50:00;38.09250117101096;51.7336696039958;-7.9211;112.5992
2023-06-01 02:55:00;36.65603042628724;52.484515714549886;-7.9211;112.5992
2023-06-01 03:00:00;35.160458054675395;53.20995693648611;-7.9211;112.5992
2023-06-01 03:05:00;33.60447265985479;53.90845647724122;-7.9211;112.5992
2023-06-01 03:10:00;31.98701556250407;54.57840582726568;-7.9211;112.5992
2023-06-01 03:15:00;30.30735251728746;55.218152080780335;-7.9211;112.5992
2023-06-01 03:20:00;28.56512152417895;55.825987690492695;-7.9211;112.5992
2023-06-01 03:25:00;26.760418205826912;56.4001709581644;-7.9211;112.5992
2023-06-01 03:30:00;24.89383849623644;56.938949940273346;-7.9211;112.5992
2023-06-01 03:35:00;22.966565725681235;57.44055220272991;-7.9211;112.5992
2023-06-01 03:40:00;20.980411601838643;57.90323604729575;-7.9211;112.5992
2023-06-01 03:45:00;18.93787768149218;58.32528709648918;-7.9211;112.5992
2023-06-01 03:50:00;16.842191229024678;58.70505927472023;-7.9211;112.5992
2023-06-01 03:55:00;14.697322291891206;59.040988468668964;-7.9211;112.5992
2023-06-01 04:00:00;12.507987969487305;59.331633508420516;-7.9211;112.5992
2023-06-01 04:05:00;10.279625092392305;59.57568982784341;-7.9211;112.5992
2023-06-01 04:10:00;8.018342411045136;59.772030445724596;-7.9211;112.5992
2023-06-01 04:15:00;5.730843756116165;59.91971279595861;-7.9211;112.5992
2023-06-01 04:20:00;3.4243257991130593;60.01802653887177;-7.9211;112.5992
2023-06-01 04:25:00;1.1063523342113728;60.06647307065467;-7.9211;112.5992
2023-06-01 04:30:00;358.78470079851394;60.064820164875535;-7.9211;112.5992
2023-06-01 04:35:00;356.467272254642;60.013074651723514;-7.9211;112.5992
2023-06-01 04:40:00;354.1618102021959;59.91148924819792;-7.9211;112.5992
2023-06-01 04:45:00;351.875882490776;59.76056938829731;-7.9211;112.5992
2023-06-01 04:50:00;349.6166198378759;59.56105273245207;-7.9211;112.5992
2023-06-01 04:55:00;347.39074314963875;59.31389550714599;-7.9211;112.5992
2023-06-01 05:00:00;345.20426299253427;59.02023152378129;-7.9211;112.5992
2023-06-01 05:05:00;343.06258887638506;58.68137900886779;-7.9211;112.5992
2023-06-01 05:10:00;340.97041997134016;58.29878596250953;-7.9211;112.5992
2023-06-01 05:15:00;338.931635824848;57.8740233282156;-7.9211;112.5992
2023-06-01 05:20:00;336.9494329654403;57.408744011765165;-7.9211;112.5992
2023-06-01 05:25:00;335.02627026121814;56.904662390639885;-7.9211;112.5992
2023-06-01 05:30:00;333.16389624060906;56.363526993267286;-7.9211;112.5992
2023-06-01 05:35:00;331.36345837539375;55.787106838642394;-7.9211;112.5992
2023-06-01 05:40:00;329.6255304014623;55.17715728538192;-7.9211;112.5992
